,alimentos_preparados_rotiseria
0,340777.3882
1,328288.6951
2,353335.1548
3,359694.4537
4,336568.0085
5,345114.1199
6,380008.1679
7,370191.1923
8,362573.6633
9,381176.1241
10,369678.3403
11,476275.0587
12,392859.4821
13,387396.6014
14,438291.7475
15,402471.0071
16,392629.8868
17,410556.129
18,445756.383
19,437960.5555
20,445612.1843
21,465288.6951
22,472385.6955
23,602646.807
24,492671.2855
25,487345.475
26,560791.4093
27,539774.582
28,543928.4604
29,590336.9224
30,584032.4124
31,617698.5667
32,605838.353
33,669988.3783
34,679345.7818
35,883049.9169
36,743666.0236
37,770114.0015
38,706232.933
39,462785.3768
40,495195.6094
41,492194.6345
42,518942.5376
43,552759.8526
44,547489.9054
45,547489.9054
46,630822.706
47,881476.7888
48,788246.1859
49,757531.3155
50,891016.0557
51,912712.9804
52,892263.3778
53,914622.5901
54,1052052.786
55,1087448.228
56,1103823.945
57,1226503.662
58,1213625.23
60,1401929.429
61,1370639.589
