,indumentaria_calzado_textiles_hogar
0,772371.8476
1,672290.5165
2,667696.6653
3,838948.2458
4,915895.1498
5,1001572.002
6,1026743.496
7,786415.484
8,740572.717
9,870481.0825
10,864815.7013
11,1278355.018
12,931581.0564
13,905082.794
14,964070.681
15,953653.699
16,1148685.733
17,1426312.6
18,1357253.236
19,964553.3924
20,853166.795
21,1010425.313
22,1023726.661
23,1732097.963
24,1296604.248
25,1078456.143
26,1250658.574
27,1179040.514
28,1504788.008
29,1826746.711
30,1715793.102
31,1208097.676
32,1202878.618
33,1410451.356
34,1572523.614
35,2197595.469
36,1775180.164
37,1867271.736
38,1048525.307
39,1071185.004
40,2199429.092
41,2556936.805
42,2502616.619
43,1651664.578
44,1599708.873
45,1961731.833
46,2071758.234
47,3022975.198
48,2206737.464
49,1985959.508
50,1832572.1
51,2217601.199
52,2686103.389
53,3640081.868
55,2944642.775
56,2805934.305
57,3328328.421
58,3209173.083
60,3782646.219
61,1832572.1
62,3912852.426
