,otros
0,2806660.309
1,2354084.901
2,2266189.277
3,2146755.887
4,2117971.483
5,2358093.345
6,2678008.532
7,3234640.071
8,5776003.5
9,2538296.932
10,3079244.883
11,4502834.048
12,3142844.95
13,2995841.865
14,5776003.5
15,2625030.728
16,2698300.463
17,2874416.495
18,3340891.026
19,3951234.3
20,2924735.55
21,3313478.76
22,3606806.562
23,5985972.076
24,4137451.761
25,3865105.05
26,4127581.777
27,3457368.228
28,3597721.708
29,3907782.501
30,4297343.576
31,5064885.08
32,3970054.858
33,4634783.45
34,5219409.783
35,7726583.681
36,6038180.459
37,6081261.137
38,5464393.749
39,4487693.823
40,5243957.218
41,5435915.285
42,5935993.913
43,6781847.072
44,5591342.428
45,6525379.813
46,7539583.62
47,10230913.54
48,5776003.5
49,7255727.266
50,7679985.788
51,7203808.534
52,7525720.927
53,8024885.233
54,9421770.845
55,10487530.93
56,8585647.018
57,10121840.86
58,11464394.1
62,5776003.5
63,11910475.62
64,12349980.06
