,panaderia
0,945906.3068
1,925618.6147
2,1016147.664
3,1132396.232
4,1033081.85
5,1083494.193
6,1153102.214
7,1147970.073
8,1144159.461
9,1171282.635
10,1138077.372
11,1346130.813
12,1122224.43
13,1101686.471
14,1412393.855
15,1255968.427
16,1297093.146
17,1422314.278
18,1535870.426
19,1505870.549
20,1509785.436
21,1633042.696
22,1623972.49
23,1987411.831
24,1602588.726
25,1585634.249
26,1863315.832
27,1961842.26
28,1910340.615
29,2072217.133
30,2119480.474
31,2205098.449
32,2192061.576
33,2403879.615
34,2337204.021
35,2985037.7
36,2513045.891
37,2642994.223
38,2954223.175
39,2723790.469
40,2588780.474
41,2512756.031
42,2630487.791
43,2684429.993
44,2574722.639
45,2819496.843
46,2712393.487
47,3568526.302
48,2973192.499
49,2964209.932
50,3638242.453
51,3616384.033
52,3801495.08
53,3921981.953
54,4322896.98
55,0.0
56,4333686.607
57,4773476.075
58,4509964.85
60,4860317.68
61,5045920.421
