,salon_ventas
0,27591730.13
1,25749179.4
2,27472228.72
3,28827479.49
4,27569311.41
5,28763865.42
6,30815311.77
7,30763355.89
8,30135595.7
9,31980223.91
10,33122387.95
11,40320285.28
12,32103107.86
13,75836086.4
14,75836086.4
15,75836086.4
16,75836086.4
17,75836086.4
18,75836086.4
19,38852702.48
20,39313002.17
21,42646486.71
22,44076960.79
23,56452356.42
24,44740575.24
25,43914187.06
26,50347782.68
27,48939565.17
28,49813853.04
29,53591716.25
30,54121341.62
31,58647926.48
32,56887830.18
33,65144928.12
34,66454203.74
35,82246180.68
36,69104127.61
37,71514175.15
38,84174875.51
39,71798954.71
40,74966605.03
41,74554853.96
42,76413721.76
43,76406528.27
44,73111415.16
45,84622602.75
46,86255330.61
47,111830218.6
48,94524545.27
49,89908053.02
50,103243215.3
51,102742178.6
52,104997658.2
53,111477594.5
54,120904098.3
55,120181530.9
56,118585472.2
57,136000643.3
58,135950778.8
60,149697614.6
61,148406529.3
62,164321107.3
