,tarjetas_debito
0,6864575.384
1,6438494.011
2,6908522.962
3,7454251.8
4,6735747.319
5,7337456.597
6,8183012.318
7,7899351.017
8,7888243.177
9,8695476.803
10,8324348.807
11,11070098.74
12,8391851.736
13,8607859.28
14,9144000.037
15,8980714.558
16,8668139.054
17,9513855.561
18,10619025.06
19,10164619.78
20,10187454.22
21,10495359.76
22,11132996.57
23,16252211.76
24,11687681.67
25,12330583.27
26,13685678.1
27,13152280.51
28,13838777.26
29,15507030.32
30,15609905.91
31,16044555.34
32,15872044.55
33,17749686.58
34,16506702.37
35,21105019.72
36,16421681.81
37,18677850.86
38,22420795.89
39,20850415.69
40,19703362.4
41,20569940.21
42,22143208.63
43,21188270.69
44,20660854.98
45,23565536.12
46,23551887.33
47,31300615.02
48,26481717.36
49,26089199.97
50,28304088.35
51,28509160.1
52,29448299.39
53,32637663.36
54,37146178.9
55,16148383.6
56,34575381.28
57,39697514.99
58,39925207.45
60,46053650.13
61,45283575.25
62,47364363.88
63,50063972.79
64,49886787.86
