,ventas_precios_constantes
0,27477.3
1,25223.4
2,26334.3
3,27045.9
4,25631.9
5,26365.4
6,27819.4
7,27394.1
8,26404.3
9,27766.7
10,28425.3
12,26736.7
13,25650.7
14,28846.7
15,26429.5
16,26430.5
17,27465.9
18,27033.4
19,26267.3
20,24310.8
21,25010.5
22,24891.7
23,31136.1
24,23888.7
25,22542.0
26,24647.7
27,23073.8
28,22852.1
29,23803.4
30,23580.1
31,24329.9
32,22144.7
33,24652.7
34,24270.7
35,29147.9
36,23483.3
37,23702.0
38,26996.7
39,23142.7
40,24012.7
41,23449.5
43,22953.0
44,21628.0
45,24105.8
46,24010.7
47,29931.1
48,24420.0
49,22322.6
50,24627.6
51,23407.5
52,23368.4
53,23678.0
54,24779.5
55,23990.1
56,22962.0
57,25386.7
58,25026.6
59,31595.7
61,23802.1
62,24612.4
63,24140.5
64,23234.2
